CMDLINE /home/fcelaya/tfg-ade/venv/bin/python3 SPX_MLE_v7.py
MEM 233.957031 1707938574.3903
MEM 233.957031 1707938574.4910
MEM 233.957031 1707938574.5917
MEM 233.957031 1707938574.6926
MEM 233.957031 1707938574.7934
MEM 233.957031 1707938574.9100
MEM 233.957031 1707938575.0110
MEM 233.957031 1707938575.1119
MEM 233.957031 1707938575.2128
MEM 233.957031 1707938575.3171
MEM 233.957031 1707938575.4181
MEM 233.957031 1707938575.5189
MEM 233.957031 1707938575.6198
MEM 233.957031 1707938575.7241
MEM 233.957031 1707938575.8447
MEM 233.957031 1707938575.9455
MEM 233.957031 1707938576.0462
MEM 233.957031 1707938576.1574
MEM 233.957031 1707938576.2583
MEM 233.957031 1707938576.3614
MEM 234.078125 1707938576.4621
MEM 234.078125 1707938576.5629
MEM 234.078125 1707938576.6727
MEM 234.078125 1707938576.7771
MEM 234.078125 1707938576.8822
MEM 234.078125 1707938576.9831
MEM 234.078125 1707938577.0839
MEM 234.078125 1707938577.1848
MEM 234.078125 1707938577.2857
MEM 234.078125 1707938577.3865
MEM 234.078125 1707938577.4960
MEM 234.078125 1707938577.5968
MEM 234.078125 1707938577.6980
MEM 234.078125 1707938577.7987
MEM 234.078125 1707938577.8995
MEM 234.078125 1707938578.0002
MEM 234.292969 1707938578.1013
MEM 234.292969 1707938578.2035
MEM 234.292969 1707938578.3089
MEM 234.292969 1707938578.4099
MEM 234.292969 1707938578.5210
MEM 234.292969 1707938578.6266
MEM 234.292969 1707938578.7291
MEM 234.292969 1707938578.8299
MEM 234.292969 1707938578.9306
MEM 234.292969 1707938579.0314
MEM 234.292969 1707938579.1326
MEM 234.292969 1707938579.2334
MEM 234.292969 1707938579.3342
MEM 234.292969 1707938579.4350
MEM 234.292969 1707938579.5358
MEM 234.292969 1707938579.6413
MEM 234.292969 1707938579.7421
MEM 234.292969 1707938579.8428
MEM 234.292969 1707938579.9497
MEM 234.292969 1707938580.0575
MEM 234.292969 1707938580.1623
MEM 234.292969 1707938580.2730
MEM 234.539062 1707938580.3740
MEM 234.539062 1707938580.4749
MEM 234.539062 1707938580.5834
MEM 234.539062 1707938580.7118
MEM 234.539062 1707938580.8136
MEM 234.539062 1707938580.9185
MEM 234.539062 1707938581.0192
MEM 234.539062 1707938581.1202
MEM 234.539062 1707938581.2255
MEM 234.539062 1707938581.3263
MEM 234.539062 1707938581.4272
MEM 234.539062 1707938581.5325
MEM 234.539062 1707938581.6443
MEM 234.539062 1707938581.7455
MEM 234.539062 1707938581.8465
MEM 234.539062 1707938581.9475
MEM 234.539062 1707938582.0524
MEM 234.539062 1707938582.1532
MEM 234.796875 1707938582.2556
MEM 234.796875 1707938582.3581
MEM 234.796875 1707938582.4607
MEM 234.796875 1707938582.5633
MEM 234.796875 1707938582.6641
MEM 234.796875 1707938582.7746
MEM 234.796875 1707938582.8870
MEM 234.796875 1707938582.9882
MEM 234.796875 1707938583.0914
MEM 234.796875 1707938583.1924
MEM 234.796875 1707938583.2981
MEM 234.796875 1707938583.4071
MEM 235.050781 1707938583.5157
MEM 235.050781 1707938583.6167
MEM 235.050781 1707938583.7248
MEM 235.050781 1707938583.8258
MEM 235.113281 1707938583.9268
MEM 235.113281 1707938584.0284
MEM 237.097656 1707938584.1294
MEM 237.097656 1707938584.2303
MEM 237.097656 1707938584.3312
MEM 237.097656 1707938584.4322
MEM 237.097656 1707938584.5426
MEM 237.097656 1707938584.6517
MEM 237.097656 1707938584.7526
MEM 237.097656 1707938584.8542
MEM 237.097656 1707938584.9552
MEM 237.097656 1707938585.0624
MEM 237.097656 1707938585.1744
